country_code,country_name,wb_income,wb_region,skill_group_id,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,net_per_10K_2019
af,Afghanistan,Low income,South Asia,2263,-403.95,-584.81,-427.51,-34.85,-302.71
af,Afghanistan,Low income,South Asia,634,-662.01,-351.16,-449.12,-235.69,-296.36
af,Afghanistan,Low income,South Asia,2279,-185.64,-236.04,-168.69,19,-295.7
af,Afghanistan,Low income,South Asia,20023,-584.48,-526.15,-497.29,-296.72,-294.84
af,Afghanistan,Low income,South Asia,12628,-821.08,-880.84,-687.76,-260.08,-294.39
af,Afghanistan,Low income,South Asia,921,-410.08,-178.9,-236.77,78.79,-293.07
af,Afghanistan,Low income,South Asia,1530,-606,-341.03,-274.49,0,-287.27
af,Afghanistan,Low income,South Asia,1208,-863.99,-581.99,-741.8,-49.52,-279.54
af,Afghanistan,Low income,South Asia,482,-369.33,-418.18,-153.12,217.3,-270.02
af,Afghanistan,Low income,South Asia,1225,-568.72,-549.78,-299.85,224.68,-264.38
af,Afghanistan,Low income,South Asia,210,-1228.73,-1093.33,-570.31,-176.51,-258.89
af,Afghanistan,Low income,South Asia,75,-322.23,-470.43,-291.34,-72.83,-258.39
af,Afghanistan,Low income,South Asia,781,-511.07,-410.84,-213.66,-143.1,-250.99
af,Afghanistan,Low income,South Asia,1432,-264.24,-475.13,-379.31,-206.66,-247.85
af,Afghanistan,Low income,South Asia,1612,-204.6,-503.98,-330.02,-104.61,-234.08
af,Afghanistan,Low income,South Asia,256,-625.8,-583.3,-451.78,-126.74,-220.08
af,Afghanistan,Low income,South Asia,8798,-962.4,-691.45,-697.44,-373.07,-217.21
af,Afghanistan,Low income,South Asia,154,-563.1,-380.23,-319.81,-36.32,-197.79
af,Afghanistan,Low income,South Asia,2597,-395.66,-362.1,-388.62,-89.11,-196.7
af,Afghanistan,Low income,South Asia,3098,-445.27,-81.7,-71.96,213.32,-192.02
af,Afghanistan,Low income,South Asia,4131,-1436.55,-783.85,-1150.38,-244.58,-190.14
af,Afghanistan,Low income,South Asia,133,-707,-392.74,-216.82,-80.84,-184.12
af,Afghanistan,Low income,South Asia,135,-226.01,-84.57,-177.59,-23.69,-181.12
af,Afghanistan,Low income,South Asia,421,-310.32,-640.53,-446.43,-31.84,-180.06
af,Afghanistan,Low income,South Asia,1836,-77.15,-60.09,-392.44,360.48,-167.21
af,Afghanistan,Low income,South Asia,2247,-169.46,-230.84,-376.23,-30.01,-165.67
af,Afghanistan,Low income,South Asia,158,-505.32,-280.12,-116.77,614.12,-163.04
af,Afghanistan,Low income,South Asia,50061,-367.15,-421.27,-305.66,-116.47,-159.38
af,Afghanistan,Low income,South Asia,207,180.6,-94.18,-292.12,-50.3,-149.74
af,Afghanistan,Low income,South Asia,342,-1109.6,-688.05,-621.21,-417.85,-137.76
af,Afghanistan,Low income,South Asia,176,24.17,-138.83,-190.78,-76.85,-135.26
af,Afghanistan,Low income,South Asia,26209,-181.57,-211.04,-253.87,28.68,-121.75
af,Afghanistan,Low income,South Asia,1724,-189.72,-337.52,-349.69,-53.61,-116.13
af,Afghanistan,Low income,South Asia,764,-379.41,-477.55,-316.44,-131.7,-114.6
af,Afghanistan,Low income,South Asia,13884,-1456.75,-786.09,-465.91,29.1,-111.73
af,Afghanistan,Low income,South Asia,42956,-1315.07,-700.47,-548.85,-361.38,-86.25
af,Afghanistan,Low income,South Asia,1240,-1151.17,-603.37,-600.94,-361.65,-82.66
af,Afghanistan,Low income,South Asia,2591,-743.29,-324.53,-262.24,-214.73,-74.7
af,Afghanistan,Low income,South Asia,559,-63.86,-34.87,-56.49,232.42,-47.89
af,Afghanistan,Low income,South Asia,1379,-325.9,-494.97,38.74,109.54,-39.22
af,Afghanistan,Low income,South Asia,12666,-300.6,-319.9,-252.6,15.66,-28.37
af,Afghanistan,Low income,South Asia,11305,-1097.03,-989.34,-751.52,24.19,0
af,Afghanistan,Low income,South Asia,666,-179.72,-399.41,-212.77,291.91,11.52
af,Afghanistan,Low income,South Asia,7218,-343.98,-277.73,-160.32,0,17.64
af,Afghanistan,Low income,South Asia,1838,-1237.34,-517.96,-553.72,119.46,37.89
af,Afghanistan,Low income,South Asia,827,-726.39,-99.97,-479.23,-126.45,518.73
al,Albania,Upper middle income,Europe & Central Asia,2130,-431.14,-508.04,-651.16,-436.85,-665.02
al,Albania,Upper middle income,Europe & Central Asia,25120,-523.35,-589.3,-647.1,-648.21,-662.66
al,Albania,Upper middle income,Europe & Central Asia,2279,-483.58,-537.86,-567.51,-557.48,-630.81
al,Albania,Upper middle income,Europe & Central Asia,2265,-451.64,-535.48,-501.82,-395.71,-601.73
al,Albania,Upper middle income,Europe & Central Asia,764,-493.81,-548.51,-502.62,-563.59,-580.48
al,Albania,Upper middle income,Europe & Central Asia,586,-364.17,-492.91,-381.57,-406.36,-571.01
al,Albania,Upper middle income,Europe & Central Asia,50370,-459.75,-507.27,-493.02,-596.62,-542.89
al,Albania,Upper middle income,Europe & Central Asia,50061,-398.42,-463.35,-525,-525.3,-514.47
al,Albania,Upper middle income,Europe & Central Asia,1989,-433.09,-470.26,-709.85,-554.97,-501.81
al,Albania,Upper middle income,Europe & Central Asia,68,-353.92,-463.06,-387.14,-404.73,-464.77
al,Albania,Upper middle income,Europe & Central Asia,314,-297.84,-465.41,-413.94,-462.38,-456.65
al,Albania,Upper middle income,Europe & Central Asia,774,-200.39,-424.58,-290.16,-265.99,-428.81
al,Albania,Upper middle income,Europe & Central Asia,921,-281.71,-366.95,-321.72,-342.48,-415.84
al,Albania,Upper middle income,Europe & Central Asia,193,-344.61,-497.52,-277.41,-240.57,-407.76
al,Albania,Upper middle income,Europe & Central Asia,1836,-167.51,-400.81,-382.74,-328.23,-388.67
al,Albania,Upper middle income,Europe & Central Asia,236,-314.53,-336.24,-334.71,-348.8,-380.45
al,Albania,Upper middle income,Europe & Central Asia,441,-372.87,-577.73,-435.85,-359.21,-375.61
al,Albania,Upper middle income,Europe & Central Asia,86,-384.32,-394.29,-379.18,-187.19,-363.51
al,Albania,Upper middle income,Europe & Central Asia,635,-291.28,-296.03,-409.68,-337.53,-363.43
al,Albania,Upper middle income,Europe & Central Asia,2247,-226.53,-272.86,-264.2,-247.58,-354.18
al,Albania,Upper middle income,Europe & Central Asia,2060,-607.83,-632.63,-362.16,-349.47,-351.42
al,Albania,Upper middle income,Europe & Central Asia,2917,-706.58,-473.75,-430.02,147.81,-348.25
al,Albania,Upper middle income,Europe & Central Asia,2263,-308.62,-521.35,-415.4,-371.23,-346.17
al,Albania,Upper middle income,Europe & Central Asia,207,-299.67,-330.97,-344.31,-252.36,-337.59
al,Albania,Upper middle income,Europe & Central Asia,976,-328.78,-352.84,-351.86,-283.25,-336.3
al,Albania,Upper middle income,Europe & Central Asia,311,-423.73,-362.38,-336.06,-314.91,-333.22
al,Albania,Upper middle income,Europe & Central Asia,785,-316.22,-250.13,-378.21,-105.48,-332.94
al,Albania,Upper middle income,Europe & Central Asia,1225,-188.25,-500.45,-431.07,-180.55,-313.26
al,Albania,Upper middle income,Europe & Central Asia,1432,-311.42,-346.01,-312.75,-290.26,-307.13
al,Albania,Upper middle income,Europe & Central Asia,2591,-213.9,-479.57,-376.82,-273.07,-300.37
al,Albania,Upper middle income,Europe & Central Asia,634,-299.25,-295.26,-311.25,-281.05,-285.65
al,Albania,Upper middle income,Europe & Central Asia,2269,-403.6,-366.26,-341.2,-278.84,-284.96
al,Albania,Upper middle income,Europe & Central Asia,176,-341.1,-302.93,-289.11,-282.35,-283.05
al,Albania,Upper middle income,Europe & Central Asia,1530,-130.31,-181.16,-197.46,-194.2,-281.08
al,Albania,Upper middle income,Europe & Central Asia,618,-304.81,-287.84,-296.98,-171.92,-280.62
al,Albania,Upper middle income,Europe & Central Asia,135,-300.87,-350.79,-286.41,-237.39,-278.17
al,Albania,Upper middle income,Europe & Central Asia,1379,-249.73,-520.86,-349.92,-152.74,-275.72
al,Albania,Upper middle income,Europe & Central Asia,613,-414.76,-420.9,-332.71,-205.14,-270.14
al,Albania,Upper middle income,Europe & Central Asia,26209,-328.47,-309.86,-269,-213.19,-265.08
al,Albania,Upper middle income,Europe & Central Asia,559,-327.27,-347.62,-347.81,-179.43,-257.21
al,Albania,Upper middle income,Europe & Central Asia,69,-207.62,-393.95,-291.6,-153.84,-256.02
al,Albania,Upper middle income,Europe & Central Asia,2597,-377.47,-352.28,-293.96,-212.92,-255.22
al,Albania,Upper middle income,Europe & Central Asia,354,-291.07,-403.05,-369.36,-367,-253.75
al,Albania,Upper middle income,Europe & Central Asia,1774,-370.69,-387.45,-342.29,-403.13,-253.58
al,Albania,Upper middle income,Europe & Central Asia,12666,-152.2,-188.21,-214.41,-165.38,-249.3
al,Albania,Upper middle income,Europe & Central Asia,3104,-316.27,-306.73,-297.85,-331.54,-246.8
al,Albania,Upper middle income,Europe & Central Asia,9985,-256.49,-244.39,-338.92,-287.06,-246.54
al,Albania,Upper middle income,Europe & Central Asia,1612,-414.63,-429.57,-340.78,-304.57,-244.71
al,Albania,Upper middle income,Europe & Central Asia,256,-329.5,-334.93,-219.52,-190.72,-241.07
al,Albania,Upper middle income,Europe & Central Asia,49,-281.02,-360.92,-376.12,-161.98,-236.51
al,Albania,Upper middle income,Europe & Central Asia,75,-236.64,-256.43,-258.82,-69.68,-232.49
al,Albania,Upper middle income,Europe & Central Asia,666,-270.9,-313.66,-296.43,-195.81,-228.52
al,Albania,Upper middle income,Europe & Central Asia,344,-435.13,-486.39,-348.86,-129.75,-225.61
al,Albania,Upper middle income,Europe & Central Asia,20023,-328.63,-283.83,-347.83,-230.21,-221.44
al,Albania,Upper middle income,Europe & Central Asia,154,-441.2,-383.67,-348.26,-205.41,-220.85
al,Albania,Upper middle income,Europe & Central Asia,482,-202.23,-305.2,-260.66,-150.15,-219.52
al,Albania,Upper middle income,Europe & Central Asia,172,-166.71,-260.5,-82.25,-242.82,-218.54
al,Albania,Upper middle income,Europe & Central Asia,4271,-166.12,-171.86,-172.9,-193.25,-201.94
al,Albania,Upper middle income,Europe & Central Asia,1735,-405.5,-635.91,-369.98,-298.16,-194.33
al,Albania,Upper middle income,Europe & Central Asia,7462,-305.76,-298.26,-364.52,-163.65,-179.47
al,Albania,Upper middle income,Europe & Central Asia,45513,-384.66,-365.17,-268.65,-123.07,-144.44
al,Albania,Upper middle income,Europe & Central Asia,133,-240.1,-342.55,-251.74,-171.93,-132.54
al,Albania,Upper middle income,Europe & Central Asia,158,-348.73,-386.46,-202.38,-214.14,-95.78
al,Albania,Upper middle income,Europe & Central Asia,5785,-212.3,-259.25,-134.66,-240.4,-84.94
al,Albania,Upper middle income,Europe & Central Asia,342,-810.6,-455.51,-389.9,90.4,-69.18
al,Albania,Upper middle income,Europe & Central Asia,2186,-506.8,-413.73,-333.1,103.42,-64.45
al,Albania,Upper middle income,Europe & Central Asia,44,-181.38,-228.79,-258.82,-42.66,74.11
al,Albania,Upper middle income,Europe & Central Asia,43756,-223.19,-297.11,-346.17,-64.49,134.91
dz,Algeria,Upper middle income,Middle East & North Africa,2130,-274.27,-477.93,-551.8,-541.84,-599.54
dz,Algeria,Upper middle income,Middle East & North Africa,2279,-316.46,-452.89,-2158.62,-551.84,-574.17
dz,Algeria,Upper middle income,Middle East & North Africa,50061,-216.83,-347.66,-468.2,-448.33,-558.5
dz,Algeria,Upper middle income,Middle East & North Africa,25120,-281.65,-461.58,-2960.83,-508.95,-551.55
dz,Algeria,Upper middle income,Middle East & North Africa,764,-248.25,-378.33,-463.47,-483.77,-534.6
dz,Algeria,Upper middle income,Middle East & North Africa,6718,-247.3,-427.77,-530.09,-448.3,-527.19
dz,Algeria,Upper middle income,Middle East & North Africa,1017,27.24,-80.65,-887.3,-643.73,-498.88
dz,Algeria,Upper middle income,Middle East & North Africa,4565,-186.92,-178.7,-492.93,-390.21,-491.74
dz,Algeria,Upper middle income,Middle East & North Africa,1208,-338.15,-525.64,-621.96,-474.04,-471.26
dz,Algeria,Upper middle income,Middle East & North Africa,2060,-262.35,-17.37,-305.55,-219.48,-463.86
dz,Algeria,Upper middle income,Middle East & North Africa,2263,-285.35,-159.3,-267.63,-332.76,-450.06
dz,Algeria,Upper middle income,Middle East & North Africa,1735,-398.05,-281.37,-557.39,-308.15,-446.18
dz,Algeria,Upper middle income,Middle East & North Africa,50370,-206.83,-217.66,-343.97,-356.57,-405.03
dz,Algeria,Upper middle income,Middle East & North Africa,1989,-148.29,-230.64,-6060.98,-339.64,-398.79
dz,Algeria,Upper middle income,Middle East & North Africa,1836,-230.76,-116.67,-328.63,-221.19,-392.58
dz,Algeria,Upper middle income,Middle East & North Africa,2265,-253.48,-273.34,-364.64,-356.62,-389.15
dz,Algeria,Upper middle income,Middle East & North Africa,354,-31.45,-174.45,-332.41,-100.2,-372.45
dz,Algeria,Upper middle income,Middle East & North Africa,921,-276.45,-315.84,-329.23,-326.66,-369.06
dz,Algeria,Upper middle income,Middle East & North Africa,785,-102.06,-156.02,-485.39,-190.8,-364.11
dz,Algeria,Upper middle income,Middle East & North Africa,561,-154.22,-243.25,-318.18,-326.48,-358.63
dz,Algeria,Upper middle income,Middle East & North Africa,5587,-108.11,-88.71,-265.45,-280.16,-357.35
dz,Algeria,Upper middle income,Middle East & North Africa,586,-62.96,-161.39,-254.3,-355.11,-351.63
dz,Algeria,Upper middle income,Middle East & North Africa,618,-59.9,-46.13,-207.56,-120.07,-349.84
dz,Algeria,Upper middle income,Middle East & North Africa,86,-299.38,-139.32,-424.05,-335.53,-342.55
dz,Algeria,Upper middle income,Middle East & North Africa,4131,-57.66,-187.65,-309.86,-242.01,-341.25
dz,Algeria,Upper middle income,Middle East & North Africa,1802,166.49,-324.5,-225.02,-125.93,-335.61
dz,Algeria,Upper middle income,Middle East & North Africa,1225,-104.82,-134.95,-294.64,-217.69,-327.87
dz,Algeria,Upper middle income,Middle East & North Africa,344,-146.87,-147.65,-295.38,-166.42,-322.6
dz,Algeria,Upper middle income,Middle East & North Africa,50321,-25.53,-258.26,-293.73,-256.88,-317.7
dz,Algeria,Upper middle income,Middle East & North Africa,1790,-156.98,-181.42,-371.32,-203.23,-316.02
dz,Algeria,Upper middle income,Middle East & North Africa,68,-127.8,-160.16,-294.25,-253.63,-314.79
dz,Algeria,Upper middle income,Middle East & North Africa,2591,-213.88,-124.18,-371.62,-198.97,-312.3
dz,Algeria,Upper middle income,Middle East & North Africa,3104,7.47,-104.99,-256.32,-144.16,-309.02
dz,Algeria,Upper middle income,Middle East & North Africa,2935,-269.82,28.54,-524.67,-347.55,-292.13
dz,Algeria,Upper middle income,Middle East & North Africa,2247,-89.4,-177.69,-197.06,-210.62,-290.37
dz,Algeria,Upper middle income,Middle East & North Africa,314,-166.06,-222.2,-230.4,-284.59,-290.3
dz,Algeria,Upper middle income,Middle East & North Africa,2091,-177.62,-266.9,-336.1,-273.06,-287.62
dz,Algeria,Upper middle income,Middle East & North Africa,4271,-61.16,-122.64,-339.82,-160.83,-284.92
dz,Algeria,Upper middle income,Middle East & North Africa,1612,-31.53,0,-376.69,-250.08,-284.66
dz,Algeria,Upper middle income,Middle East & North Africa,69,-248.87,-144.34,-308.36,-216.47,-283.76
dz,Algeria,Upper middle income,Middle East & North Africa,236,-112.23,-187.25,-226.81,-231.36,-282.32
dz,Algeria,Upper middle income,Middle East & North Africa,6544,-197.3,-226.38,-230.5,-307.08,-281.86
dz,Algeria,Upper middle income,Middle East & North Africa,28976,-24.81,-158.63,-254.65,-52.74,-276.24
dz,Algeria,Upper middle income,Middle East & North Africa,634,-71.19,-133.53,-258.91,-269.33,-269.36
dz,Algeria,Upper middle income,Middle East & North Africa,1379,-78.87,-163.36,-216.07,-185.23,-268.3
dz,Algeria,Upper middle income,Middle East & North Africa,25743,-160.12,-199.99,-272.49,-269.72,-267.96
dz,Algeria,Upper middle income,Middle East & North Africa,44,-55.45,-100.74,-6604.67,-151.61,-260.71
dz,Algeria,Upper middle income,Middle East & North Africa,3139,-129.42,-33.58,-277.41,-179.96,-259.84
dz,Algeria,Upper middle income,Middle East & North Africa,5785,-109.06,-67.75,-261.7,-170.78,-258.22
dz,Algeria,Upper middle income,Middle East & North Africa,976,-196.05,-126.42,-284.47,-253.75,-257.91
dz,Algeria,Upper middle income,Middle East & North Africa,441,-174.26,-153.04,-2955.29,-212.8,-257.44
dz,Algeria,Upper middle income,Middle East & North Africa,3668,-121.83,-14.22,-281.21,-156.83,-252.95
dz,Algeria,Upper middle income,Middle East & North Africa,43756,-126.36,-42.15,-192.9,-122.87,-252.33
dz,Algeria,Upper middle income,Middle East & North Africa,207,-29.85,-136.04,-235.09,-217.75,-250.61
dz,Algeria,Upper middle income,Middle East & North Africa,342,-102.55,-192.48,-4858.51,-181.69,-248.46
dz,Algeria,Upper middle income,Middle East & North Africa,1432,-96.51,-129.85,-220.49,-234.94,-248.2
dz,Algeria,Upper middle income,Middle East & North Africa,3399,-153.06,-97.96,-169.62,-81.3,-238.63
dz,Algeria,Upper middle income,Middle East & North Africa,43733,-52.92,-128.55,-565.52,-57.94,-237.69
dz,Algeria,Upper middle income,Middle East & North Africa,7462,-19.96,-73.98,-285.46,5.35,-230.7
dz,Algeria,Upper middle income,Middle East & North Africa,311,-108.83,-135.36,-189.83,-223.5,-225.64
dz,Algeria,Upper middle income,Middle East & North Africa,482,-56.64,-160.1,-236.92,-170.59,-225.37
dz,Algeria,Upper middle income,Middle East & North Africa,20344,-97.53,-155.78,-163.62,-199.47,-222.39
dz,Algeria,Upper middle income,Middle East & North Africa,8798,-221.56,-70.11,-342.42,-308.43,-219
dz,Algeria,Upper middle income,Middle East & North Africa,133,-116.24,-90.09,-280.14,-98.88,-211.7
dz,Algeria,Upper middle income,Middle East & North Africa,2917,-123.73,-48.51,-214.47,-171.33,-211.54
dz,Algeria,Upper middle income,Middle East & North Africa,210,-197.34,-77.62,-182.6,-187.28,-211.12
dz,Algeria,Upper middle income,Middle East & North Africa,2186,-152.61,-78.93,-204.28,-185.38,-207.04
dz,Algeria,Upper middle income,Middle East & North Africa,135,-136.7,-132.92,-174.46,-179.88,-206.19
dz,Algeria,Upper middle income,Middle East & North Africa,613,-75.49,-102.99,-250.41,-213.73,-205.99
dz,Algeria,Upper middle income,Middle East & North Africa,12628,-137.29,-64.95,-107.25,-159.53,-203.8
dz,Algeria,Upper middle income,Middle East & North Africa,2269,-129.16,-158.82,-503.41,-198.27,-203.31
dz,Algeria,Upper middle income,Middle East & North Africa,666,-98.63,-143.39,-172.2,-169.43,-202.92
dz,Algeria,Upper middle income,Middle East & North Africa,154,-96.25,-141.02,-185.47,-183.88,-199.27
dz,Algeria,Upper middle income,Middle East & North Africa,9985,-118.5,-106.69,-198.32,-209.81,-198.33
dz,Algeria,Upper middle income,Middle East & North Africa,10369,-69.82,-99.52,-153.65,-195.6,-196.98
dz,Algeria,Upper middle income,Middle East & North Africa,26209,-95.08,-126.21,-178.21,-178.44,-196.1
dz,Algeria,Upper middle income,Middle East & North Africa,1150,-112.82,-196.21,-148.12,-152.8,-193.35
dz,Algeria,Upper middle income,Middle East & North Africa,1838,-65.54,-74.29,-150.06,-155.22,-191.7
dz,Algeria,Upper middle income,Middle East & North Africa,559,-138.52,-109.84,-181.12,-150.79,-190.86
dz,Algeria,Upper middle income,Middle East & North Africa,49,-97.12,-176.06,-3471.35,-153.84,-175.61
dz,Algeria,Upper middle income,Middle East & North Africa,20023,-53.28,-90.67,-175.14,-149.02,-175.46
dz,Algeria,Upper middle income,Middle East & North Africa,256,-80.45,-151.5,-167.15,-173.49,-169.43
dz,Algeria,Upper middle income,Middle East & North Africa,1774,-58.88,-102.93,-267.55,-72.66,-167.32
dz,Algeria,Upper middle income,Middle East & North Africa,158,-44.55,-71.68,-145.77,-163.07,-165.52
dz,Algeria,Upper middle income,Middle East & North Africa,11305,-122.33,-47.54,-95.22,-132.83,-163.76
dz,Algeria,Upper middle income,Middle East & North Africa,2597,-83.87,-119.25,-399.9,-159.77,-163.56
dz,Algeria,Upper middle income,Middle East & North Africa,172,-178.34,-131.3,-200.97,-101.48,-151.17
dz,Algeria,Upper middle income,Middle East & North Africa,12666,-89.48,-66.86,-97.34,-121.96,-149.76
dz,Algeria,Upper middle income,Middle East & North Africa,7218,-25.6,-156.31,-157.94,-201.99,-149.71
dz,Algeria,Upper middle income,Middle East & North Africa,45513,-11.56,-65.12,-147.81,-96.51,-146.92
dz,Algeria,Upper middle income,Middle East & North Africa,1530,-82.33,-57.11,-112.27,-104.41,-139.66
dz,Algeria,Upper middle income,Middle East & North Africa,176,-44.63,-67.53,-99.72,-126.51,-134.09
dz,Algeria,Upper middle income,Middle East & North Africa,75,-117.02,-92.18,-157.11,-78.31,-125.61
ao,Angola,Lower middle income,Sub-Saharan Africa ,43733,-68.09,-630.08,-744.22,-547.02,-495.05
ao,Angola,Lower middle income,Sub-Saharan Africa ,3252,205.76,-781.07,-956.99,-429.99,-327.62
ao,Angola,Lower middle income,Sub-Saharan Africa ,8798,26.36,-854.33,-699.81,-401.26,-223.74
ao,Angola,Lower middle income,Sub-Saharan Africa ,1150,-55.53,-666.4,-460.42,-518.56,-205.13
ao,Angola,Lower middle income,Sub-Saharan Africa ,3139,-284.94,-719.56,-957.54,-201.5,-177.2
ao,Angola,Lower middle income,Sub-Saharan Africa ,1989,213.69,-423.07,-406.27,-190.89,-166.12
